Species,longitude,latitude
1,29.577482,-15.727127
1,29.577151,-15.726779
1,29.576944,-15.727396
1,29.576984,-15.727576
1,29.575907,-15.725764
1,29.574234,-15.725477
1,29.573292,-15.725434
1,29.574426,-15.725881
1,29.573446,-15.727302
1,29.574293,-15.727942
1,29.574206,-15.728458
1,29.577001,-15.730394
1,29.57531,-15.727225
1,29.575445,-15.727567
1,29.576081,-15.727695
1,29.576383,-15.72799
1,29.577104,-15.728198
1,29.577329,-15.728322
1,29.577974,-15.728431
1,29.578688,-15.728875
1,29.579581,-15.728665
1,29.579255,-15.728001
1,29.579317,-15.726979
1,29.578495,-15.72614
1,29.578186,-15.726017
1,29.578056,-15.726046
1,29.576572,-15.723037
1,29.575161,-15.719829
1,29.573804,-15.716449
1,29.572251,-15.713839
1,29.57271,-15.712524
1,29.571859,-15.712308
1,29.572563,-15.710502
1,29.572774,-15.710165
1,29.569437,-15.705869
1,29.569034,-15.705711
1,29.56929,-15.703784
1,29.56908,-15.696687
1,29.567239,-15.694875
1,29.566267,-15.69326
1,29.565806,-15.692895
1,29.566073,-15.692594
1,29.566472,-15.692436
1,29.566867,-15.692765
1,29.566867,-15.692765
1,29.566867,-15.692765
1,29.566867,-15.692765
1,29.850683,-15.620232
1,29.854481,-15.622639
1,29.854546,-15.622602
1,29.853793,-15.622738
1,29.854045,-15.62278
1,29.854724,-15.623349
1,29.856978,-15.623247
1,29.85802,-15.623152
1,29.854501,-15.620055
1,29.856868,-15.621415
1,29.858787,-15.622718
1,29.859703,-15.622896
1,29.832507,-15.620033
1,29.832284,-15.620045
1,29.832351,-15.620153
1,29.832131,-15.620418
1,29.832885,-15.620399
1,29.833138,-15.620522
1,29.833811,-15.62064
1,29.835359,-15.620683
1,29.835663,-15.621158
1,29.836221,-15.621719
1,29.839024,-15.620861
1,29.839771,-15.621032
1,29.839307,-15.622465
1,29.839253,-15.622629
1,29.842913,-15.623123
1,29.845679,-15.623674
1,29.845698,-15.623674
1,29.846004,-15.622911
1,29.846512,-15.622589
1,29.847337,-15.622262
1,29.850761,-15.620529
1,29.840011,-15.62018
1,29.840457,-15.621439
1,29.840942,-15.62146
1,29.840814,-15.621615
1,29.840983,-15.621712
1,29.841003,-15.621829
1,29.839546,-15.621568
1,29.839464,-15.621678
1,29.839229,-15.622222
1,29.839311,-15.622754
1,29.839112,-15.623913
1,29.838947,-15.623436
1,29.838659,-15.623449
1,29.83627,-15.624573
1,29.839157,-15.6258
1,29.838724,-15.626835
1,29.839489,-15.627593
1,29.840785,-15.62828
1,29.84122,-15.628049
1,29.841326,-15.62765
1,29.840969,-15.624783
1,29.840577,-15.624029
1,29.840703,-15.623739
1,29.83979,-15.623082
1,29.8398,-15.622432
1,29.843001,-15.621424
1,29.843414,-15.621626
1,29.844484,-15.622127
1,29.844605,-15.622153
1,29.848257,-15.622087
1,29.848402,-15.621119
1,29.848037,-15.62097
1,29.854123,-15.620349
1,29.854088,-15.619826
1,29.854172,-15.619852
1,29.854365,-15.619687
1,29.854533,-15.619649
1,29.854644,-15.619647
1,29.854768,-15.619808
1,29.854442,-15.619858
1,29.854397,-15.619948
1,29.854248,-15.619968
1,29.595462,-15.7602
1,29.607394,-15.75816
1,29.621558,-15.76004
1,29.623434,-15.760189
1,29.624596,-15.760582
1,29.692041,-15.752993
1,29.578894,-15.73636
1,29.579948,-15.737089
1,29.57937,-15.737827
1,29.578382,-15.738625
1,29.57835,-15.739031
1,29.577571,-15.739357
1,29.577635,-15.739275
1,29.577792,-15.738388
1,29.580404,-15.737743
1,29.580713,-15.737856
1,29.580927,-15.73854
1,29.581964,-15.737227
1,29.58054,-15.73672
1,29.671035,-15.711342
1,29.663487,-15.711706
1,29.662528,-15.711817
1,29.662,-15.699928
1,29.660402,-15.710434
1,29.659782,-15.712175
1,29.659434,-15.712685
1,29.659491,-15.713462
1,29.658668,-15.714763
1,29.658843,-15.716757
1,29.658388,-15.718316
1,29.657596,-15.72053
1,29.600985,-15.721465
1,29.59804,-15.723063
1,29.593933,-15.724241
1,29.587786,-15.727836
1,29.577948,-15.731584
1,29.577572,-15.73204
1,29.577525,-15.732059
1,29.577991,-15.732008
1,29.578504,-15.732047
1,29.695862,-15.703956
1,29.661495,-15.701234
1,29.659805,-15.711823
1,29.658851,-15.711618
1,29.657969,-15.713299
1,29.658623,-15.718413
1,29.657798,-15.720256
1,29.622942,-15.72766
1,29.599868,-15.722318
1,29.587736,-15.726816
1,29.587526,-15.726403
1,29.57948,-15.730274
1,29.58071,-15.730224
1,29.580373,-15.729333
1,29.579781,-15.734155
1,29.57897,-15.734914
1,29.578985,-15.735438
1,29.577552,-15.734172
1,29.576936,-15.734116
1,29.576391,-15.736029
1,29.57767,-15.736863
1,29.73151,-15.649476
1,29.733722,-15.651841
1,29.734504,-15.652437
1,29.734761,-15.65144
1,29.735243,-15.651244
1,29.735007,-15.65244
1,29.734938,-15.652856
1,29.737842,-15.651844
1,29.732408,-15.649031
1,29.734387,-15.648564
1,29.734894,-15.648133
1,29.73597,-15.648426
1,29.73538,-15.648912
1,29.735232,-15.649041
1,29.73501,-15.649125
1,29.734926,-15.649126
1,29.734852,-15.649154
1,29.734757,-15.649011
1,29.734656,-15.649129
1,29.734775,-15.649733
1,29.735655,-15.649279
1,29.735692,-15.649279
1,29.736188,-15.649399
1,29.736642,-15.649222
1,29.736286,-15.649768
1,29.736215,-15.650004
1,29.735345,-15.651198
1,29.734724,-15.65145
1,29.734605,-15.652363
1,29.828915,-15.724598
1,29.829107,-15.724975
1,29.828558,-15.725759
1,29.828206,-15.725926
1,29.827922,-15.725559
1,29.827388,-15.725395
1,29.827038,-15.725715
1,29.826875,-15.726079
1,29.82713,-15.726292
1,29.817902,-15.726502
1,29.817971,-15.726817
1,29.826906,-15.726268
1,29.826478,-15.725668
1,29.826451,-15.725732
1,29.825983,-15.725602
1,29.825838,-15.725902
1,29.825841,-15.726164
1,29.825518,-15.726421
1,29.825502,-15.726602
1,29.825154,-15.727058
1,29.82908,-15.72978
1,29.829017,-15.729284
1,29.83003,-15.729009
1,29.830197,-15.728989
1,29.830716,-15.728738
1,29.830865,-15.728691
1,29.830713,-15.728539
1,29.83073,-15.728386
1,29.830974,-15.728491
1,29.83062,-15.728541
1,29.830489,-15.728488
1,29.830461,-15.728525
1,29.830273,-15.728355
1,29.829962,-15.728116
1,29.829971,-15.728125
1,29.829829,-15.728
1,29.828322,-15.727532
1,29.827575,-15.727487
1,29.826913,-15.727478
1,29.82587,-15.726191
1,29.825801,-15.725984
1,29.825117,-15.727736
1,29.825329,-15.728212
1,29.825636,-15.728867
1,29.824986,-15.729038
1,29.824942,-15.728542
1,29.824828,-15.728399
1,29.82452,-15.728367
1,29.824268,-15.729038
1,29.823956,-15.729386
1,29.824021,-15.72943
1,29.824517,-15.729523
1,29.825009,-15.72939
1,29.8253,-15.729477
1,29.825291,-15.72954
1,29.825069,-15.729687
1,29.824954,-15.730131
1,29.825247,-15.730398
1,29.825888,-15.73021
1,29.825744,-15.729949
1,29.825753,-15.729904
1,29.826274,-15.72978
1,29.826191,-15.72989
1,29.826417,-15.730022
1,29.826412,-15.729715
1,29.826888,-15.729691
1,29.827182,-15.729371
1,29.827533,-15.729818
1,29.828483,-15.730447
1,29.829034,-15.730494
1,29.82904,-15.730954
1,29.828927,-15.731534
1,29.82909,-15.73183
1,29.829111,-15.731983
1,29.828589,-15.732053
1,29.829398,-15.731871
1,29.829252,-15.731448
1,29.829438,-15.731383
1,29.82923,-15.731187
1,29.829812,-15.730791
1,29.829382,-15.730688
1,29.829185,-15.729932
1,29.829191,-15.729733
1,29.826191,-15.72989
1,29.826417,-15.730022
1,29.826412,-15.729715
1,29.826888,-15.729691
1,29.827182,-15.729371
1,29.827533,-15.729818
1,29.828483,-15.730447
1,29.829034,-15.730494
1,29.82904,-15.730954
1,29.828927,-15.731534
1,29.82909,-15.73183
1,29.829111,-15.731983
1,29.828589,-15.732053
1,29.829398,-15.731871
1,29.829252,-15.731448
1,29.829438,-15.731383
1,29.82923,-15.731187
1,29.829812,-15.730791
1,29.829382,-15.730688
1,29.829185,-15.729932
1,29.829191,-15.729733
1,29.828618,-15.722624
1,29.829864,-15.723078
1,29.829944,-15.722146
1,29.829095,-15.721444
1,29.8291,-15.721073
1,29.831446,-15.722894
1,29.83183,-15.72298
1,29.830859,-15.722893
1,29.830925,-15.722964
1,29.830951,-15.723443
1,29.830884,-15.72404
1,29.830504,-15.724171
1,29.830439,-15.724181
1,29.830732,-15.724466
1,29.830401,-15.724814
1,29.829848,-15.725263
1,29.829801,-15.725264
1,29.83063,-15.724531
1,29.829471,-15.723688
1,29.830198,-15.723651
1,29.830299,-15.72356
1,29.82186,-15.799712
1,29.821842,-15.800407
1,29.82172,-15.800382
1,29.821945,-15.797046
1,29.821969,-15.788069
1,29.821776,-15.788279
1,29.821778,-15.788406
1,29.821548,-15.788643
1,29.821713,-15.789057
1,29.822339,-15.789175
1,29.822919,-15.79064
1,29.823245,-15.790626
1,29.823069,-15.788642
1,29.820178,-15.786665
1,29.820174,-15.78569
1,29.820796,-15.78551
